Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Elantra,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,2.0,285000,36000
Sierra,Taef,GMC,Automatic,Gulf Arabic,Semi Full,2000,1.5,400000,10000
Caprice,Al-Baha,Chevrolet,Automatic,Other,Full,2009,6.0,350000,15000
Land Cruiser 70,Riyadh,Toyota,Manual,Saudi,Standard,2018,4.0,86852,109000
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2009,5.4,360,32000
G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2018,3.8,160000,100000
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2019,4.0,30000,194500
Grand Marquis,Dammam,Mercury,Automatic,Saudi,Semi Full,2000,3.8,179000,14000
The 5,Khobar,BMW,Automatic,Gulf Arabic,Full,1997,2.0,300000,10000
3,Al-Medina,Mazda,Automatic,Saudi,Standard,2018,2.0,31000,54000
Camry,Al-Baha,Toyota,Automatic,Gulf Arabic,Standard,2014,2.2,80250,55000
ES,Riyadh,Lexus,Automatic,Other,Full,2018,3.5,66000,139000
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2016,3.8,200,56000
The 5,Jubail,BMW,Automatic,Gulf Arabic,Standard,2018,2.0,16000,145000
CT-S,Dammam,Cadillac,Automatic,Saudi,Semi Full,2019,2.0,43000,135000
Malibu,Jeddah,Chevrolet,Automatic,Other,Semi Full,2013,2.5,220000,21000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.4,166000,43000
LX,Riyadh,Lexus,Automatic,Saudi,Full,2014,5.7,220000,180000
C,Riyadh,Mercedes,Automatic,Gulf Arabic,Semi Full,2015,2.0,173000,108000
Impala,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2017,3.6,122102,53500
QX,Dammam,INFINITI,Automatic,Saudi,Full,2016,5.6,185000,119000
Seven,Riyadh,Changan,Automatic,Saudi,Standard,2021,1.5,11000,32500
Blazer,Wadi Dawasir,Chevrolet,Automatic,Saudi,Full,2008,3.6,128000,15000
C300,Riyadh,Chrysler,Automatic,Gulf Arabic,Full,2018,5.7,49000,135000
Taurus,Taef,Ford,Automatic,Saudi,Standard,2011,3.5,22000,50000
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2017,3.5,132000,65000
H1,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.4,209677,47500
The 7,Riyadh,BMW,Automatic,Gulf Arabic,Full,2019,2.0,6000,335000
Taurus,Riyadh,Ford,Automatic,Other,Full,2016,3.5,91815,86000
Tucson,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,2.0,124000,58500
Rav4,Riyadh,Toyota,Automatic,Saudi,Standard,2018,2.5,163000,69500
Sunny,Jeddah,Nissan,Automatic,Saudi,Standard,2018,1.5,88000,24000
Sonata,Qassim,Hyundai,Automatic,Other,Semi Full,2016,2.4,152000,52000
Impala,Dammam,Chevrolet,Automatic,Gulf Arabic,Standard,2018,3.6,112000,67000
Innova,Riyadh,Toyota,Automatic,Saudi,Full,2015,2.7,226000,45000
The M,Dammam,BMW,Automatic,Gulf Arabic,Standard,2018,2.0,1600,135000
CX9,Taef,Mazda,Automatic,Saudi,Full,2015,2.5,234000,57000
Yukon,Jeddah,GMC,Automatic,Other,Full,2020,5.3,63860,175000
Land Cruiser Pickup,Riyadh,Nissan,Manual,Saudi,Full,2012,4.8,339822,40000
Accord,Riyadh,Honda,Automatic,Saudi,Full,2017,2.4,139806,71500
Accord,Riyadh,Honda,Automatic,Gulf Arabic,Semi Full,2016,2.4,68000,66000
Camry,Al-Baha,Toyota,Manual,Saudi,Standard,2008,2.4,388000,17000
Cadenza,Riyadh,Kia,Automatic,Gulf Arabic,Full,2018,3.3,69000,95000
Camaro,Riyadh,Chevrolet,Automatic,Other,Full,2017,2.0,81633,120000
Suburban,Riyadh,GMC,Automatic,Other,Standard,2004,1.1,212,14000
Genesis,Riyadh,Hyundai,Automatic,Saudi,Full,2017,5.0,106000,90000
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2018,1.5,43000,30000
Taurus,Khobar,Ford,Automatic,Saudi,Semi Full,2011,3.5,281000,29500
Camry,Riyadh,Toyota,Automatic,Saudi,Full,2013,2.5,185000,42000
Land Cruiser 70,Hail,Toyota,Manual,Saudi,Semi Full,2011,4.0,352500,58000
Fusion,Al-Ahsa,Ford,Automatic,Saudi,Standard,2016,2.5,80000,50000
Pathfinder,Riyadh,Nissan,Automatic,Saudi,Semi Full,2006,4.0,325000,15000
Grand Cherokee,Khobar,Jeep,Automatic,Saudi,Full,2020,3.6,52000,162000
Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2018,4.0,179858,121500
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2013,3.6,353000,39500
Sonata,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2018,2.5,90000,55000
Camry,Dammam,Toyota,Automatic,Saudi,Full,2020,3.5,26000,126000
Cerato,Qassim,Kia,Automatic,Saudi,Semi Full,2016,1.6,12100,30000
Charger,Jeddah,Dodge,Automatic,Saudi,Full,2017,5.7,64000,145000
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2014,5.4,16682,76500
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.4,129413,57500
Traverse,Jubail,Chevrolet,Automatic,Gulf Arabic,Full,2012,3.6,176000,40000
Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Full,2015,4.0,203843,90000
FJ,Qassim,Toyota,Automatic,Gulf Arabic,Full,2017,4.0,114000,115000
Patrol,Riyadh,Nissan,Automatic,Saudi,Semi Full,2013,5.6,442000,85000
Suburban,Riyadh,Chevrolet,Automatic,Gulf Arabic,Semi Full,2018,5.3,58000,170000
Tahoe,Dammam,Chevrolet,Automatic,Other,Full,2016,5.3,110000,144000
Impala,Qassim,Chevrolet,Automatic,Gulf Arabic,Standard,2019,3.5,53000,80000
Charger,Riyadh,Dodge,Automatic,Saudi,Semi Full,2016,3.6,157136,84500
CX3,Al-Medina,Mazda,Automatic,Saudi,Semi Full,2018,2.9,78000,54000
Cerato,Arar,Kia,Automatic,Saudi,Standard,2015,1.6,120000,25000
Furniture,Aseer,Toyota,Automatic,Saudi,Semi Full,2013,4.1,285000,55000
C,Aseer,Mercedes,Automatic,Other,Full,2018,2.0,91000,138000
SEL,Dammam,Mercedes,Automatic,Other,Full,1990,4.0,89000,75000
Civic,Jeddah,Honda,Automatic,Saudi,Full,2016,2.0,68800,55000
Echo Sport,Riyadh,Ford,Automatic,Saudi,Standard,2015,1.4,101600,28000
Challenger,Dammam,Dodge,Automatic,Other,Full,2016,3.6,160000,89000
Hilux,Abha,Toyota,Manual,Saudi,Full,2015,2.7,157000,60000
S,Riyadh,Mercedes,Automatic,Other,Full,2015,3.0,300000,188000
CL,Dammam,Mercedes,Automatic,Saudi,Full,2011,4.0,60000,170000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,2.0,56000,50000
Innova,Jeddah,Toyota,Automatic,Saudi,Semi Full,2007,2.7,199800,25000
S,Dammam,Mercedes,Automatic,Saudi,Full,2015,5.0,99000,255000
Yukon,Dammam,GMC,Automatic,Saudi,Standard,2013,5.3,327000,45000
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Standard,2012,3.8,86213,41500
Hilux,Jeddah,Toyota,Manual,Saudi,Full,2018,2.7,27000,88000
Edge,Riyadh,Ford,Automatic,Saudi,Full,2011,3.5,231000,35000
Wrangler,Jeddah,Jeep,Automatic,Saudi,Full,2015,3.6,200,85000
Patrol,Riyadh,Nissan,Automatic,Saudi,Full,2015,3.2,125000,130000
Datsun,Riyadh,Nissan,Manual,Saudi,Full,2016,2.0,22000,45000
Taurus,Riyadh,Ford,Automatic,Other,Full,2016,3.5,105,83000
C,Dammam,Mercedes,Automatic,Other,Full,2017,2.0,96000,170000
Charger,Al-Medina,Dodge,Automatic,Other,Full,2016,1.7,140,65000
Pajero,Dammam,Mitsubishi,Automatic,Gulf Arabic,Full,2016,3.8,216000,58000
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2016,3.5,161353,57500
Yaris,Abha,Toyota,Automatic,Saudi,Standard,2011,1.3,300500,14000
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,125000,66000
Optima,Riyadh,Kia,Automatic,Saudi,Semi Full,2015,2.0,190000,38000
Sierra,Qassim,GMC,Automatic,Saudi,Standard,2020,5.3,17000,135000
Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.4,50000,33000
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,88564,26800
Land Cruiser,Aseer,Toyota,Automatic,Saudi,Full,2013,4.6,101000,150000
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2013,4.6,281000,135000
Rio,Riyadh,Kia,Automatic,Saudi,Semi Full,2018,2.0,85000,30000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,74000,27000
Land Cruiser 70,Dammam,Toyota,Manual,Saudi,Semi Full,2014,4.0,70000,69000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.0,22999,53000
The 7,Jeddah,BMW,Automatic,Saudi,Full,2014,6.0,182000,90000
Maxima,Riyadh,Nissan,Automatic,Saudi,Standard,2017,3.5,158543,61500
Navara,Jeddah,Nissan,Automatic,Other,Full,2015,2.5,19000,38000
LS,Khobar,Lexus,Automatic,Saudi,Full,2015,4.6,103000,170000
Accent,Al-Ahsa,Hyundai,Automatic,Saudi,Standard,2019,1.4,65392,37000
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2017,1.6,100000,44000
Accord,Qassim,Honda,Automatic,Gulf Arabic,Semi Full,2017,2.5,62847,82000
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2020,1.6,16479,56000
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,126000,63000
Accent,Dammam,Hyundai,Automatic,Saudi,Full,2020,1.6,10400,53000
Suburban,Taef,Chevrolet,Automatic,Other,Full,2008,5.3,263,32000
