Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable,Price
Land Cruiser Pickup,Tabouk,Toyota,Manual,Saudi,Semi Full,2015,4.0,96000,False,95000
SL,Riyadh,Mercedes,Automatic,Other,Full,1995,3.5,119,True,0
Charger,Riyadh,Dodge,Automatic,Unknown,Full,2020,3.6,9120,False,115000
Rio,Jeddah,Kia,Automatic,Other,Standard,2017,1.4,147000,False,26000
Maxima,Dammam,Nissan,Automatic,Other,Semi Full,2011,3.5,34000,False,20000
X-Trail,Riyadh,Nissan,Automatic,Saudi,Standard,2018,2.5,30507,False,69500
Cruze,Taef,Chevrolet,Automatic,Saudi,Standard,2013,1.8,175,False,15000
Hilux,Jeddah,Toyota,Manual,Saudi,Standard,2010,2.7,200000,True,0
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2019,2.0,54000,False,80000
Camry,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2017,1.4,107,True,0
Land Cruiser Pickup,Jeddah,Nissan,Automatic,Gulf Arabic,Full,2014,4.8,217000,True,0
Taurus,Dammam,Ford,Automatic,Saudi,Semi Full,2012,3.5,327000,False,35000
RX,Riyadh,Lexus,Automatic,Saudi,Full,2019,3.5,47000,True,0
Datsun,Al-Baha,Nissan,Manual,Other,Full,2015,2.4,115000,True,0
Sunny,Dammam,Nissan,Automatic,Saudi,Standard,2018,1.5,94000,False,28500
Cressida,Abha,Toyota,Manual,Saudi,Standard,1996,2.4,300000,True,0
S,Al-Jouf,Mercedes,Automatic,Other,Full,1993,3.0,138,False,22000
ES,Dammam,Lexus,Automatic,Other,Full,2019,3.5,40000,False,185000
Elantra,Taef,Hyundai,Manual,Saudi,Standard,2007,1.6,191700,False,13000
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Semi Full,2005,4.0,446,False,50000
C,Riyadh,Mercedes,Automatic,Other,Full,2017,3.0,210000,False,210000
The 7,Jeddah,BMW,Automatic,Saudi,Semi Full,2012,2.0,100000,True,0
Tahoe,Aseer,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,275000,False,40000
S,Riyadh,Mercedes,Automatic,Other,Full,2017,3.0,26000,False,245000
FJ,Jeddah,Toyota,Automatic,Saudi,Standard,2016,4.0,130,False,100000
Seven,Riyadh,Changan,Automatic,Saudi,Standard,2020,1.5,55531,False,27500
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.5,70263,False,89000
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.4,105500,False,32000
Malibu,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,2.5,175000,False,49000
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2016,4.6,42000,False,138000
Azera,Tabouk,Hyundai,Automatic,Saudi,Standard,2018,3.5,147,False,2049
Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2017,4.0,67357,False,126000
Land Cruiser Pickup,Aseer,Toyota,Manual,Saudi,Standard,1983,1.5,2580,False,15000
Caprice,Riyadh,Chevrolet,Automatic,Saudi,Full,2007,1.0,3187031,True,0
Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2016,5.0,58000,False,250000
Cherokee,Jeddah,Jeep,Automatic,Saudi,Full,2015,3.2,20000,True,0
C300,Riyadh,Chrysler,Automatic,Saudi,Full,2013,5.7,340000,False,40000
